2026-04-02 20:57:50 | INFO    | STEP 01 | Load footpath color and render page
2026-04-02 20:57:50 | INFO    | STEP 02 | Determine AOI from pixel pipeline output
2026-04-02 20:57:50 | INFO    | STEP 02 | AOI px bbox=(322, 351, 3065, 2235)
2026-04-02 20:57:50 | INFO    | STEP 03 | Build vector candidate mask from footpath-colored drawings
2026-04-02 20:57:50 | INFO    | STEP 03 | Candidate draw matches=2246 earliest_seq=3
2026-04-02 20:57:50 | INFO    | STEP 04 | Build sequence-aware overlay mask from later non-surface drawings
2026-04-02 20:57:50 | INFO    | STEP 04 | Overlay draw hits=491
2026-04-02 20:57:50 | INFO    | STEP 05 | Resolve overlaps and enforce continuity
2026-04-02 20:57:51 | INFO    | STEP 06 | Keep dominant ribbon-like connected component
2026-04-02 20:57:51 | INFO    | STEP 07 | Polygon preview overlay
2026-04-02 20:57:51 | INFO    | STEP 08 | Write diagnostics
2026-04-02 20:57:51 | INFO    | STEP 09 | Done. polygons=0 final_pixels=0
2026-04-02 20:57:51 | INFO    | STEP 09 | JSON: outputs\footpath_vector_sequence\footpath_vector_sequence_pipeline.json
2026-04-02 21:01:06 | INFO    | STEP 01 | Load footpath color and render page
2026-04-02 21:01:06 | INFO    | STEP 02 | Determine AOI from pixel pipeline output
2026-04-02 21:01:06 | INFO    | STEP 02 | AOI px bbox=(322, 351, 3065, 2235)
2026-04-02 21:01:06 | INFO    | STEP 03 | Build vector candidate mask from footpath-colored drawings
2026-04-02 21:01:07 | INFO    | STEP 03 | Candidate draw matches=655 earliest_seq=3
2026-04-02 21:01:07 | INFO    | STEP 04 | Build sequence-aware overlay mask from later non-surface drawings
2026-04-02 21:01:07 | INFO    | STEP 04 | Overlay draw hits=37
2026-04-02 21:01:07 | INFO    | STEP 05 | Resolve overlaps and enforce continuity
2026-04-02 21:01:07 | INFO    | STEP 06 | Keep dominant ribbon-like connected component
2026-04-02 21:01:07 | INFO    | STEP 07 | Polygon preview overlay
2026-04-02 21:01:07 | INFO    | STEP 08 | Write diagnostics
2026-04-02 21:01:07 | INFO    | STEP 09 | Done. polygons=1 final_pixels=27189
2026-04-02 21:01:07 | INFO    | STEP 09 | JSON: outputs\footpath_vector_sequence\footpath_vector_sequence_pipeline.json
