2026-04-02 20:11:30 | INFO    | STEP 01 | Starting focused scale-bar detection
2026-04-02 20:11:30 | INFO    | STEP 01 | PDF: examples\Joal 502.pdf
2026-04-02 20:11:30 | INFO    | STEP 01 | Output dir: outputs\scale_detection
2026-04-02 20:11:31 | INFO    | STEP 02 | Page count: 1
2026-04-02 20:11:31 | INFO    | STEP 02 | Page 1 words: 434
2026-04-02 20:11:31 | INFO    | STEP 02 | Page 1 drawings: 5870
2026-04-02 20:11:31 | INFO    | STEP 03 | Locating scale-related tokens
2026-04-02 20:11:31 | INFO    | STEP 03 | Primary scale tokens=4
2026-04-02 20:11:31 | INFO    | STEP 03 | Candidate ratio values=33
2026-04-02 20:11:31 | INFO    | STEP 03 | Candidate tick labels=4
2026-04-02 20:11:31 | DEBUG   | STEP 03 | Label text candidate: A3 Scale 1: 500 10 25 SCALE
2026-04-02 20:11:31 | DEBUG   | STEP 03 | Label bbox: [247.1105499267578, 543.4715576171875, 509.104736328125, 560.1332397460938]
2026-04-02 20:11:31 | DEBUG   | STEP 03 | Tick bbox: None
2026-04-02 20:11:31 | DEBUG   | STEP 03 | Search bbox: [514.104736328125, 535.4715576171875, 809.104736328125, 568.1332397460938]
2026-04-02 20:11:31 | INFO    | STEP 04 | Searching for scale-bar vector rectangles
2026-04-02 20:11:31 | INFO    | STEP 04 | Bar rectangle candidates=4
2026-04-02 20:11:31 | INFO    | STEP 05 | Writing JSON outputs
2026-04-02 20:11:31 | INFO    | STEP 06 | Generating annotated images
2026-04-02 20:11:31 | INFO    | STEP 06 | Saved annotated image: outputs\scale_detection\visualizations\page_001_scale_annotated.png
2026-04-02 20:11:31 | INFO    | STEP 07 | Done
2026-04-02 20:11:31 | INFO    | STEP 07 | Result file: outputs\scale_detection\scale_detection.json
2026-04-02 20:11:31 | INFO    | STEP 07 | Log file: outputs\scale_detection\run.log
2026-04-02 20:12:20 | INFO    | STEP 01 | Starting focused scale-bar detection
2026-04-02 20:12:20 | INFO    | STEP 01 | PDF: examples\Joal 502.pdf
2026-04-02 20:12:20 | INFO    | STEP 01 | Output dir: outputs\scale_detection
2026-04-02 20:12:21 | INFO    | STEP 02 | Page count: 1
2026-04-02 20:12:21 | INFO    | STEP 02 | Page 1 words: 434
2026-04-02 20:12:21 | INFO    | STEP 02 | Page 1 drawings: 5870
2026-04-02 20:12:21 | INFO    | STEP 03 | Locating scale-related tokens
2026-04-02 20:12:21 | INFO    | STEP 03 | Primary scale tokens=4
2026-04-02 20:12:21 | INFO    | STEP 03 | Candidate ratio values=33
2026-04-02 20:12:21 | INFO    | STEP 03 | Candidate tick labels=4
2026-04-02 20:12:21 | DEBUG   | STEP 03 | Label text candidate: A3 Scale 1: 500 10
